CELL	MARKER
AMACRINE	Pax6
AMACRINE	Gad1
AMACRINE	Tfap2a
Astrocytes	Gfap
Astrocytes	Slc1a3
Astrocytes	Slc1a2
Astrocytes	Glul
Astrocytes	S100b
Astrocytes	Aldh1l1
astrocytes_A1	C3
astrocytes_A1	H2-T23
astrocytes_A1	Serping1
astrocytes_A1	H2-D1
astrocytes_A1	Ggta1
astrocytes_A1	Iigp1
astrocytes_A1_induced_LPS	Lcn2
astrocytes_A1_induced_LPS	Steap4
astrocytes_A1_induced_LPS	Timp1
astrocytes_A1_induced_LPS	Serping1
astrocytes_A1_induced_LPS	Gbp2
astrocytes_A1_induced_LPS	Cp
astrocytes_A1_induced_LPS	Fbln5
astrocytes_A1_induced_LPS	Ugt1a
astrocytes_A1_induced_LPS	Fkbp5
astrocytes_A1_induced_LPS	Aspg
astrocytes_A1_induced_LPS	Psmb8
astrocytes_A1_induced_LPS	Srgn
astrocytes_A1_induced_LPS	Cxcl10
astrocytes_A1_induced_LPS	Amigo2
astrocytes_A1_induced_LPS	Hspb1
astrocytes_A1_induced_LPS	Osmr
astrocytes_A1_induced_LPS	Gfap
astrocytes_A1_induced_LPS	Ier3
astrocytes_A1_induced_LPS	Ifitm3
astrocytes_A1_induced_LPS	S1pr3
astrocytes_A1_induced_LPS	Sulf2
astrocytes_A1_induced_LPS	Hspb6
astrocytes_A1_induced_LPS	Endou
astrocytes_A1_induced_LPS	Slc39a14
astrocytes_A1_induced_LPS	Tapbp
astrocytes_A1_induced_LPS	Crispld2
astrocytes_A1_induced_LPS	Gsr
astrocytes_A1_induced_LPS	Tspan4
astrocytes_A1_induced_LPS	Cxcl1
astrocytes_A1_induced_LPS	Gbp3
astrocytes_A1_induced_LPS	Olfm1
astrocytes_A1_induced_LPS	Chi3l1
astrocytes_A1_induced_LPS	Vim
astrocytes_A1_induced_LPS	C4b
astrocytes_A1_induced_LPS	B2m
astrocytes_A1_induced_LPS	A2m
astrocytes_A1_induced_LPS	Slc22a4
astrocytes_A1_induced_LPS	Nek6
astrocytes_A1_induced_LPS	Sorbs1
astrocytes_A1_induced_LPS	Cd44
astrocytes_A2	Clcf1
astrocytes_A2	Tgm1
astrocytes_A2	Ptx3
astrocytes_A2	S100a10
astrocytes_A2	Sphk1
astrocytes_A2	Cd109
astrocytes_A2	Ptgs2
astrocytes_A2	Emp1
astrocytes_A2	Slc10a6
astrocytes_A2	Tm4sf1
astrocytes_A2	B3gnt5
astrocytes_A2	Cd14
astrocytes_A2	Stat3
astrocytes_A2_induced_MCAO	Lcn2
astrocytes_A2_induced_MCAO	Clcf1
astrocytes_A2_induced_MCAO	Steap4
astrocytes_A2_induced_MCAO	Tgm1
astrocytes_A2_induced_MCAO	S1pr3
astrocytes_A2_induced_MCAO	Ptx3
astrocytes_A2_induced_MCAO	S100a10
astrocytes_A2_induced_MCAO	Sphk1
astrocytes_A2_induced_MCAO	Timp1
astrocytes_A2_induced_MCAO	Cd109
astrocytes_A2_induced_MCAO	Ptgs2
astrocytes_A2_induced_MCAO	Emp1
astrocytes_A2_induced_MCAO	Slc10a6
astrocytes_A2_induced_MCAO	Tm4sf1
astrocytes_A2_induced_MCAO	B3gnt5
astrocytes_A2_induced_MCAO	Hspb1
astrocytes_A2_induced_MCAO	Cd14
astrocytes_A2_induced_MCAO	Igfbp3
astrocytes_A2_induced_MCAO	Klf5
astrocytes_A2_induced_MCAO	Cxcl10
astrocytes_A2_induced_MCAO	Cd44
astrocytes_A2_induced_MCAO	Hmox1
astrocytes_A2_induced_MCAO	Lgals3
astrocytes_A2_induced_MCAO	Osmr
astrocytes_A2_induced_MCAO	Gap43
astrocytes_A2_induced_MCAO	Gdf15
astrocytes_A2_induced_MCAO	Flnc
astrocytes_A2_induced_MCAO	Sbno2
astrocytes_A2_induced_MCAO	Anxa2
astrocytes_A2_induced_MCAO	Tubb6
astrocytes_A2_induced_MCAO	Srxn1
astrocytes_A2_induced_MCAO	Tnfrsf12a
astrocytes_A2_induced_MCAO	Asns
astrocytes_A2_induced_MCAO	Ccn2
astrocytes_A2_induced_MCAO	Gcnt2
astrocytes_A2_induced_MCAO	Cp
astrocytes_A2_induced_MCAO	Hmga1
astrocytes_A2_induced_MCAO	Gadd45b
astrocytes_A2_induced_MCAO	Vgf
astrocytes_A2_induced_MCAO	Anxa3
astrocytes_A2_induced_MCAO	Aspg
astrocytes_A2_induced_MCAO	Vim
astrocytes_A2_induced_MCAO	Akap12
astrocytes_A2_induced_MCAO	Gfap
astrocytes_A2_induced_MCAO	Icam1
B_cells	Ms4a1
BIPOLAR	Vsx2
BIPOLAR	Prkca
BIPOLAR	Grm6
CHOLINERGIC	Chat
CONES	Arr3
DC	Fcer1a
DC	Cst3
ENDOTHELIAL	Pecam1
Macrophage	Cd14
Macrophage	Fcgr3
Macrophage	Fcgr1
Macrophage	Cd68
Macrophage	Tfrc
Macrophage	Ccr5
macrophages_M1	Cd80
macrophages_M1	Cd86
macrophages_M1	Fcgr1
macrophages_M1	Fcgr3
macrophages_M1	Fcgr2b
macrophages_M1	Cxcl9
macrophages_M1	Cxcl10
macrophages_M1	Cxcl11
macrophages_M1	Nos2
macrophages_M2	Cd163
macrophages_M2	Mrc1
macrophages_M2	Cd68
macrophages_M2	Arg1
macrophages_M2	Clec7a
macrophages_M2	Retnla
macrophages_M2	Mrc1
macrophages_M2	Tgm2
MICROGLIA	Cx3cr1
Microglia	Tmem119
Microglia	Iba1
Microglia	Ptprc
Microglia	Itgam
Microglia	Cx3cr1
Microglia	Mertk
Microglia	P2ry12
Microglia	Siglech
Microglia	Itgax
Microglia	Cd68
Microglia	Cd40
Microglia	Hcls1
Microglia	Ncoa6
microglia_M1	Cd14
microglia_M1	Fcgr3
microglia_M1	Fcgr2b
microglia_M1	Cd40
microglia_M1	Cd86
microglia_M1	Il6
microglia_M1	Il12a
microglia_M1	Il17a
microglia_M1	Il18
microglia_M1	Il23a
microglia_M1	Mmp9
microglia_M1	Mmp12
microglia_M1	Ifng
microglia_M1	Tnf
microglia_M1	Ccl5
microglia_M1	Ccl20
microglia_M1	Cxcl1
microglia_M1	Cxcl9
microglia_M1	Cxcl10
microglia_M2	Cd163
microglia_M2	Mrc1
microglia_M2	Ccl2
microglia_M2	Ccl17
microglia_M2	Ccl22
microglia_M2	Ccl24
microglia_M2	Il4
microglia_M2	Il10
microglia_M2	Il13
microglia_M2	Chil3
microglia_M2	Retnla
microglia_M2	Bdnf
microglia_M2	Csf1
microglia_M2	Fgf1
microglia_M2	Gdnf
microglia_M2	Igf1
microglia_M2	Tgfb1
microglia_M2	Ngf
microglia_M2	Ntsr1
Monocytes_CD14	Cd14
Monocytes_CD14	Lyz1
Monocytes_FCGR3A	Fcgr3a
Monocytes_FCGR3A	Ms4a7
MULLER	Sox9
MULLER	Glul
MULLER	Clu
MULLER	Dkk3
MULLER	S100a6
Neurons	Nefm
Neurons	Tubb3
Neurons	Gap43
Neurons	Map2
Neurons	Rbfox3
Neurons	Grin1
Neurons	Nrcam
Neurons	Eno2
Neurons	Uchl1
Neurons	Tcf4
Neurons	Th
NK	Gnly
NK	Nkg7
Oligodendrocyte	Mbp
Oligodendrocyte	Mog
Oligodendrocyte	Olig1
Oligodendrocyte	Olig2
Oligodendrocyte	Sox10
Oligodendrocyte	Cnp
Oligodendrocyte	Cldn11
Oligodendrocyte	Cspg4
PERICYTES	Cspg4
Platelets	Ppbp
RGC	Thy1
RGC	Rbpms
RGC	Pou4f1
RGC	Pou4f2
RODS	Rho
T_cells_CD4_memory	Il7r
T_cells_CD4_memory	S100a4
T_cells_CD8	Cd8a
T_cells_memory	Ccr7
T_cells_memory	Cd27
T_cells_memory	Cd44
T_cells_memory	Ptprc
T_cells_memory	Ptprc
T_cells_memory	
T_cells_memory	Cd69
T_cells_memory	Itgae
T_cells_pTreg	Ctla4
T_cells_pTreg	Lag3
T_cells_pTreg	Pdcd1
T_cells_pTreg	Foxp3
T_cells_pTreg	Tgfb1
T_cells_pTreg	Il10
T_cells_Tfh	Cxcr5
T_cells_Tfh	Pdcd1
T_cells_Tfh	Cd40lg
T_cells_Tfh	Bcl6
T_cells_Tfh	Il21
T_cells_Tfh	Il10
T_cells_Tfr	Ctla4
T_cells_Tfr	Icos
T_cells_Tfr	Cxcr5
T_cells_Tfr	Pdcd1
T_cells_Tfr	Foxp3
T_cells_Tfr	Tgfb1
T_cells_Tfr	Il10
T_cells_Th1	Cxcr3
T_cells_Th1	Ccr5
T_cells_Th1	Tbx21
T_cells_Th1	Ifng
T_cells_Th17	Ccr6
T_cells_Th17	Rorc
T_cells_Th17	Il17a
T_cells_Th17	Il22
T_cells_Th17	Il21
T_cells_Th17	Il25
T_cells_Th17	Il26
